component,logMstar,logSFR,logMHI,logMH2,DMS,velocity,class,primary_mechanism,secondary_mechanism,hi_evidence,multiwavelength_evidence,event_sequence,timing,contradictions,history_confidence,gfmr_implication,mauve_tests,key_citations,stage,target_id,yoon_class,koppen_status,preferred_aliases,grade_hi,grade_co,grade_ionized_uv,grade_stars_dust,grade_radio,grade_xray,grade_dynamics,mention_links,unique_bibcodes
NGC4216,10.894349098205566,-0.2156505584716797,9.27460319759266,8.822060585021973,-0.6959209442138672,30,3.0,long-term gas depletion plus satellite accretion,possible preprocessing/slow ICM process,"The H I disk is fairly regular but low surface density and deficient, without a clear current stripping edge.","Deep optical imaging to about 29 mag arcsec^-2 reveals multiple streams, loops and disrupting dwarfs, directly proving ongoing gravitational bombardment; no extended group X-ray halo is detected.","Slow/older gas depletion and repeated minor accretion coexist; the streams need not have caused the H I deficiency, and an ICM or viscous-stripping history remains plausible.","No unique pressure clock. Stream survival is probably shorter than about 1 Gyr. A core passage at least roughly 1 Gyr ago is a travel-time scenario, not a fitted orbit.","Yoon IV and Köppen past imply evolved gas processing, but Paudel establishes satellite interactions and leaves the stripping epoch ambiguous. Nearby NGC4222 has regular H I, so a simple bound-group preprocessing narrative is not demonstrated.",high for minor accretion; low for gas-loss epoch,"Tidal accretion can add stars/gas while slow stripping removes diffuse H I, making global gas and metallicity histories non-monotonic; the streams alone do not demonstrate metal-poor inflow.",Use MUSE stellar populations/kinematics at stream interfaces and compare outer-disk gas metallicity to test whether accreted material reached the disk.,Chung2009;Yoon2017;Paudel2013;Koppen2018,post-peak,NGC4216,IV,past,VCC 167; UGC 7284; NGC 4216,3,2,1,3,1,1,2,428,428
NGC4293,10.526727676391602,-0.243272066116333,7.45059377366679,8.732060432434082,-0.480912446975708,717,3.0,past strong gas stripping,bar/interaction-driven central gas,The galaxy is extremely H I deficient with gas confined centrally; absorption and non-circular motions are prominent.,A misaligned/disturbed stellar-gas configuration and strong bar/central activity point to gravitational/internal redistribution in addition to environmental removal.,Outer atomic gas was removed in an earlier passage; surviving gas settled or was driven into the centre by non-axisymmetric dynamics.,No direct stellar clock in the core set; analytical work calls it a past stripper/possible backsplash case.,"The gas deficit supports past removal, but the central kinematics cannot be assigned to RPS. Phase-space backsplash is probabilistic.",moderate-high,Loss of metal-poor outskirts and central aperture weighting can elevate measured metallicity without requiring closed-box enrichment; bar-driven SFE is a separate variable.,Measure age/metallicity at the truncation boundary and model bar versus external gas kinematics; avoid AGN/DIG spaxels.,Chung2009;Yoon2017;Koppen2018;Brown2026;Huang2026,post-peak,NGC4293,III,past,VCC 460; UGC 7405; NGC 4293,3,3,3,2,2,1,2,314,314
NGC4380,10.094348907470703,-0.7856504917144775,8.12935972806267,8.46205997467041,-0.7379209995269775,935,3.0,old/slow gas depletion,starvation or weak past stripping,"H I is mildly asymmetric, low surface brightness and deficient but lacks an active one-sided wind morphology.",The disk is anemic; CO and radio surveys provide measurements without a dedicated event reconstruction.,A slow process or relaxed remnant of an older stripping event reduced diffuse gas and star formation without leaving a strong current tail.,No direct clock.,"Yoon IV supports slow processes; Köppen labels past stripping. Current observations do not discriminate starvation, evaporation, or relaxed RPS.",moderate for processed status; low for mechanism,A slow fall in gas supply can move the system closer to equilibrium than impulsive stripping; radial aperture loss can still mimic metallicity enhancement.,Use stellar ages and outer-disk abundance gradients to distinguish prolonged starvation from an abrupt old truncation.,Chung2009;Yoon2017;Koppen2018;Brown2021,post-peak,NGC4380,IV,past,VCC 792; UGC 7503; NGC 4380,3,2,1,1,1,0,1,277,277
NGC4394,10.324349403381348,-0.8056504726409912,8.668675338443782,7.84205961227417,-0.9097211360931396,772,3.0,slow/old gas depletion,possible weak M85 tide,The H I disk is deficient and mildly truncated but strikingly symmetric.,"The galaxy is anemic. Although projected near M85, VIVA reports no decisive tidal signature linking the two.",Gas supply/removal acted gently or long enough ago for the disk to relax; no active stripping evidence remains.,No published event clock and no Köppen entry.,"Yoon IV supplies only a morphology class. Association with M85 is contextual, not causal evidence.",low-moderate,"This is a useful test of slow gas exhaustion: lower gas and SFR may remain coupled, unlike impulsive stripping, but aperture/radial effects must be controlled.",Derive spatially resolved SFHs and gas-star misalignment; search for subtle M85-facing age or metallicity asymmetry.,Chung2009;Yoon2017,post-peak,NGC4394,IV,not included,VCC 857; UGC 7523; NGC 4394; KPG 334b,3,2,1,1,1,0,1,380,380
NGC4405,9.734349250793455,-0.8956503868103027,7.6821993738032415,8.132060050964355,-0.6103215217590332,1751,3.0,past ram pressure stripping,none clearly established,"The H I disk is severely and symmetrically truncated while the stellar disk is regular, with little evidence for current pressure.",Outer-disk stellar populations are quenched; broad CO/survey data do not identify a competing gravitational event.,An earlier ICM passage removed outer gas; the remaining inner disk has since relaxed.,Outer-disk quenching is about 450+/-150 Myr.,"Yoon III and Köppen past agree. The clock dates cessation of local star formation, not necessarily exact pressure maximum.",high,A post-stripping system should show low gas fraction and radially censored star formation; metallicity offsets can arise from outside-in removal and halted dilution.,Measure metallicity/ages immediately inside and outside the old truncation radius and search for fallback gas.,CrowlKenney2008;Chung2009;Yoon2017;Koppen2018,post-peak,NGC4405,III,past,VCC 874; UGC 7529; IC 788; NGC 4405,3,2,1,3,1,0,2,169,169
NGC4419,10.23430061340332,0.0543005466461181,7.7894150681673056,8.972060203552246,0.0096619129180908,-228,3.0,past strong ram pressure stripping,central bar/nuclear processing,The H I disk is extremely small relative to the stars; extraplanar/absorption features suggest residual displacement or fallback.,The stellar disk is comparatively undisturbed. CO is centrally concentrated and historical observations show asymmetry; MAUVE ionized-gas data sample a strongly processed disk.,A strong event removed outer gas; surviving/fallback material and central dynamics now dominate the inner disk.,Outer-disk quenching is about 500+/-150 Myr (individual indicators vary). No current pressure maximum is inferred.,"The regular stellar disk favours hydrodynamic removal, while central non-axisymmetry may be internal. Negative line-of-sight velocity makes phase-space placement projection sensitive.",high,Strong radial truncation changes which metallicities enter integrated measurements; central gas retention can preserve SFR at very low H I mass.,Search for kinematically distinct fallback gas and compare central molecular SFE to the quenched outer-disk age gradient.,CrowlKenney2008;Chung2009;Yoon2017;Koppen2018;Brown2026;Huang2026,post-peak,NGC4419,III,past,VCC 958; UGC 7551; NGC 4419,3,3,3,3,2,1,2,423,423
NGC4450,10.684349060058594,-0.565650463104248,8.481079205097062,8.542059898376465,-0.9073214530944824,2048,3.0,old/slow environmental depletion,bar/AGN/internal secular evolution,"H I is moderately truncated and low surface density but symmetric, with no current tail or compressed edge.",Anemic star formation coexists with a bar and low-luminosity AGN; these internal processes complicate ionized-gas interpretation.,Diffuse gas was slowly removed/starved or stripped long ago; the present gas disk is relaxed.,No direct quenching or pressure clock.,Yoon IV and Köppen past agree on an evolved state but not on mechanism. AGN emission is not evidence of environment.,moderate-low,Slow depletion and AGN/DIG contamination make Halpha-based SFR especially vulnerable; gas-based relations may better record the environmental deficit.,"Use HII-only masks, stellar ages and outer CO/H I limits to distinguish starvation from old impulsive stripping.",Chung2009;Yoon2017;Koppen2018,post-peak,NGC4450,IV,past,VCC 1110; UGC 7594; NGC 4450,3,3,1,2,2,1,2,589,589
IC3392,9.823572158813477,-0.9864275455474854,7.664470809316811,8.232060432434082,-0.7599852085113525,1678,3.0,past ram pressure stripping,none clearly established,"The H I disk is severely, nearly symmetrically truncated while the stellar disk remains regular.",Outer-disk stars record cessation of star formation; no dedicated gravitational alternative is established.,"A strong ICM event removed outer gas, after which the remaining disk relaxed.",Outer-disk quenching is about 500+/-100 Myr.,Yoon III and Köppen past agree; the stellar clock is local and does not uniquely reconstruct the orbit.,high,The system anchors a clean post-stripping path in which low gas fraction and radial censorship precede continued central evolution.,Measure the abundance step/gradient across the truncation radius and compare central molecular SFE to other post-peak disks.,CrowlKenney2008;Chung2009;Yoon2017;Koppen2018;Huang2026,post-peak,IC3392,III,past,VCC 1126; UGC 7602; IC 3392,3,2,2,3,1,0,2,186,186
NGC4457,10.46871852874756,-0.4412813186645508,8.31364607507017,8.882060050964355,-0.6406354904174805,738,3.0,past/relaxed gas stripping,warp or minor accretion,The H I disk is small and asymmetric/warped but lacks a strong current wind signature.,Radio and MAUVE ionized-gas surveys reveal a processed disk but no dedicated orbital model; internal structure remains plausible.,An earlier mild-to-moderate removal episode and/or minor accretion disturbed gas; the present event status is relaxed.,No published clock; Köppen does not include the galaxy.,"Yoon III implies severe/past morphology, but VIVA describes a less decisive active signature. Mechanism confidence is limited.",moderate-low,"Gas warps/accretion can change metallicity and kinematics independently of stripping, so a post label alone cannot set the expected FMR residual.",Test gas-star misalignment and azimuthal metallicity asymmetry; determine whether the warp carries distinct abundance.,Chung2009;Yoon2017;Vollmer2013;Brown2026;Huang2026,post-peak,NGC4457,III,not included,VCC 1145; UGC 7609; NGC 4457,3,3,3,2,2,0,2,350,350
NGC4548,10.665937423706056,-0.2640619277954101,8.834491326112065,8.862060546875,-0.5935811996459961,498,3.0,slow or old stripping/starvation,bar dynamics,The H I disk is mildly truncated and low surface density; it is an anemic galaxy without a convincing present wind tail.,A strong bar dominates gas kinematics. LOFAR supplies environmental radio context but does not yield a unique stripping history.,Gas supply was reduced gradually or in an older event; the surviving disk evolved secularly under the bar.,No robust time. Earlier kinematic work explicitly questioned whether stripping is still active.,"Yoon IV and Köppen past support an evolved state, while direct evidence cannot choose starvation versus relaxed RPS.",moderate-low,Bar-driven SFE and slow gas depletion are degenerate in SFR-based FMR projections; spatial gas mass and stellar ages are needed.,Model bar streaming before searching for weak wind residuals; compare outer-disk ages to gas truncation.,Chung2009;Yoon2017;Koppen2018;Edler2024,post-peak,NGC4548,IV,past,M 91; VCC 1615; UGC 7753; NGC 4548,3,3,1,2,2,0,2,643,643
NGC4569,10.844348907470703,0.1443495750427246,8.819559186053745,9.45206069946289,-0.3029208183288574,-220,3.0,past strong ram pressure stripping,nuclear starburst/outflow,The H I disk is only about one third of the stellar extent and is highly deficient; extraplanar material and a newly traced 230 kpc Halpha tail record removed gas.,"A magnetized/nuclear outflow is distinct from the stripping tail. Spectroscopy along the 230 kpc tail shows a smooth velocity gradient toward the Virgo systemic velocity, directly tracing deceleration of stripped ISM.",A major pressure event removed the outer disk about 0.3 Gyr ago; a central wind developed from surviving gas while stripped clouds mixed with and decelerated in the ICM.,Tailored gas models and outer stellar populations both give about 300 Myr since peak/quenching (stellar uncertainty about 50 Myr). The far Halpha tail implies cloud survival at least about 0.5 Gyr under model assumptions.,The nuclear outflow contains far less mass than the stripped component and must not be used to explain the global deficiency. The 230 kpc tail strengthens RPS but cloud survival/mixing physics remain uncertain.,very high,"This galaxy combines genuine gas removal, long-lived ionized tail emission and a central wind; Halpha outside the disk is not in-situ SFR, while gas fraction strongly departs from equilibrium expectations.",Use tail metallicity/line ratios and MUSE disk SFHs to connect the 300 Myr event to present central SFE; exclude wind/tail emission from disk FMR fits.,Vollmer2004;Chyzy2006;CrowlKenney2008;Chung2009;Vollmer2009;Boselli2016;Yoon2017;Wezgowiec2011;Sun2026,post-peak,NGC4569,III,past,M 90; VCC 1690; UGC 7786; NGC 4569,3,3,3,3,3,3,3,957,957
NGC4579,10.904349327087402,0.0643494129180908,8.777485349925852,9.18206024169922,-0.4225213527679443,1627,3.0,old/slow gas depletion,bar and AGN,"The H I disk is moderately and symmetrically truncated, without a clear current tail.",A bar and LINER/Seyfert nucleus dominate central molecular and ionized-gas behavior.,Environmental gas loss/starvation acted in the past or slowly; the present disk is relaxed and central secular/AGN processes now dominate.,No environmental clock.,Yoon IV and Köppen past agree only at the broad level. AGN/torque studies are not environmental evidence.,moderate-low,AGN/DIG and bar inflow contaminate SFR/metallicity diagnostics; gas-based deficits should be interpreted separately from central emission.,"Apply conservative HII masks and compare outer stellar ages to H I/CO truncation, after subtracting bar streaming.",Chung2009;Yoon2017;Koppen2018,post-peak,NGC4579,IV,past,M 58; VCC 1727; UGC 7796; NGC 4579,3,3,1,2,2,1,2,1145,1145
NGC4580,9.966727256774902,-0.8732719421386719,7.469897451243499,8.422060012817383,-0.7413120269775391,1227,3.0,past ram pressure stripping/backsplash candidate,none clearly established,A severely truncated H I disk sits inside a regular stellar disk with no present tail.,Outer-disk stellar populations are quenched; the retained central disk continues limited star formation.,"A past ICM event stripped the outer disk, after which the galaxy moved to its current projected location and the gas morphology relaxed.","Outer-disk quenching is about 475+/-100 Myr. Backsplash status is a phase-space/model inference, not directly observed.",Yoon III and Köppen past converge. The current large projected radius does not uniquely prove a core passage.,high for past stripping; moderate for backsplash,The galaxy is a strong post-event test of how metallicity and SFE evolve for roughly half a Gyr after abrupt outside-in gas loss.,Derive a resolved age-metallicity profile across the fossil truncation and search for reaccreted/fallback gas.,CrowlKenney2008;Chung2009;Yoon2017;Koppen2018,post-peak,NGC4580,III,past,VCC 1730; UGC 7794; NGC 4580,3,2,1,3,1,0,2,235,235
NGC4606,9.851147651672363,-1.0888519287109375,7.419922225523208,8.012060165405273,-0.8806095123291016,1653,3.0,past severe gas stripping,gravitational disturbance,H I occupies only a small fraction of the stellar disk and is strongly deficient.,"The stellar morphology is disturbed, so tides/harassment likely contributed; no dedicated tailored model fixes the balance.","A gravitational perturbation altered the stellar disk and environmental pressure removed most diffuse gas, in uncertain order.",No direct clock; Köppen treats it as a past stripper.,"Yoon III and Köppen past support an evolved gas state, but a pure-RPS narrative is inconsistent with the disturbed stars.",moderate,"Tidal inflow and gas stripping can offset one another in SFR and metallicity, making an integrated post-peak residual non-unique.",Use stellar/gas kinematic misalignment and SFHs to order the tidal and stripping events; constrain remaining central CO SFE.,Chung2009;Yoon2017;Koppen2018;Edler2024,post-peak,NGC4606,III,past,VCC 1859; UGC 7839; NGC 4606,3,2,1,2,1,0,2,175,175
NGC4607,9.624349594116213,-0.5956504344940186,8.36704318403414,8.442060470581055,-0.2377212047576904,2284,3.0,past or ongoing ram pressure stripping,projected association with NGC4606,The edge-on H I disk is truncated and deficient.,The approximately 600 km/s velocity difference and lack of a clear tidal bridge weaken the idea that NGC4606 is a bound perturber. LOFAR identifies NGC4607 as a new radio-RPS candidate.,ICM interaction likely truncated the disk; apparent pairing with NGC4606 may be mostly projection rather than the cause.,No tailored time.,"Yoon III/Köppen past imply a relaxed event, whereas current radio asymmetry may indicate residual/renewed pressure. This is a real status tension, not an error.",moderate,Radio evidence can persist or reveal current pressure after H I truncation; gas mass and SFR clocks may therefore be asynchronous.,Use MUSE DIG/shock asymmetry and radio spectral aging to decide whether pressure is still active; test the pair hypothesis with stellar velocities.,Chung2009;Yoon2017;Koppen2018;Edler2024,post-peak,NGC4607,III,past,VCC 1868; UGC 7843; NGC 4607,3,2,2,1,3,1,2,186,186
NGC4689,10.144349098205566,-0.3056504726409912,8.699789790936894,8.892060279846191,-0.2909209728240967,1522,3.0,old/slow gas depletion,internal disk evolution,The H I disk is mildly and symmetrically truncated with no clear current wind feature.,Rich CO/cloud measurements characterize the inner disk but do not supply a dedicated environmental event clock.,A slow process or old weak stripping reduced the outer gas; the present disk is relaxed.,No direct clock.,Yoon IV and Köppen past agree broadly but cannot distinguish starvation from old RPS.,moderate-low,This is a slow-processing comparison where gas and SFR may evolve together more nearly than in active strippers; resolved cloud physics remains an internal confounder.,"Compare cloud-scale SFE and stellar ages across the H I truncation, using PHANGS/VERTICO resolution matching.",Chung2009;Yoon2017;Koppen2018;Brown2021,post-peak,NGC4689,IV,past,VCC 2058; UGC 7965; NGC 4689,3,3,2,2,1,0,1,422,422
NGC4698,10.47434902191162,-0.8456504344940186,9.240910026688065,7.812059879302979,-1.0487210750579834,1032,3.0,ancient external accretion plus uncertain weak cluster stripping,possible M49-substructure context,"The H I disk extends to roughly twice the stellar disk and is mostly regular; two short SE tails and NW compression are only tentative weak/incipient RPS indicators, not a classic post-stripping remnant.","Orthogonal bulge/disk and a polar stellar+gas nuclear disk directly prove ancient external acquisition. Its stellar population requires star formation to have ended more than 5 Gyr ago, unrelated to any demonstrated present Virgo event.","An ancient accretion event built the decoupled central structure; a separate incipient, weak or past ICM event remains possible but is not reconstructed by a dedicated modern processing study.",No tailored RPS clock. The polar event is older than 5 Gyr; Köppen's past-strip label is analytical and carries at least factor-of-two pressure uncertainty.,"This is the second reclassification audit: Yoon I/VIVA indicate weak or early processing with projection ambiguity, while Köppen labels it past. MAUVE retains post-peak as a sample code, but confidence in that ICM chronology is low; Corsini supports ancient accretion, not post-peak RPS or proven preprocessing.",high for ancient accretion; low for adopted post-peak ICM status,The ancient polar component may cause central chemical/kinematic decoupling but is not evidence for current dilution. Very low SFR and uncertain gas processing make either FMR projection non-unique.,"Date separate stellar components, map metallicity/kinematics of the extended H I-linked disk, and test M49-substructure membership with distances rather than projected phase space alone.",Bertola1999;Corsini2012;Chung2009;Yoon2017;Koppen2018;Brown2026;Huang2026,post-peak,NGC4698,I,past,VCC 2070; UGC 7970; NGC 4698,3,2,3,3,1,1,3,512,512
