key,family,year,title,authors,journal,volume,issue,page,doi,doi_url,type,publisher,inclusion_role,status,error
boselli_etal_2006,individual_inversion,2006,The Fate of Spiral Galaxies in Clusters: The Star Formation History of the Anemic Virgo Cluster Galaxy NGC 4569,"Boselli, A.; Boissier, S.; Cortese, L.; de Paz, A. Gil; Seibert, M.; Madore, B. F.; Buat, V.; Martin, D. C.",The Astrophysical Journal,651,2,811-821,10.1086/507766,https://doi.org/10.1086/507766,journal-article,American Astronomical Society,chemo-spectrophotometric starvation-versus-RPS test for NGC 4569,resolved,
boselli_etal_2008,individual_inversion,2008,The Origin of Dwarf Ellipticals in the Virgo Cluster,"Boselli, A.; Boissier, S.; Cortese, L.; Gavazzi, G.",The Astrophysical Journal,674,2,742-767,10.1086/525513,https://doi.org/10.1086/525513,journal-article,American Astronomical Society,multizone dwarf transformation under RPS and starvation,resolved,
fossati_etal_2018,individual_inversion,2018,A Virgo Environmental Survey Tracing Ionised Gas Emission (VESTIGE),"Fossati, M.; Mendel, J. T.; Boselli, A.; Cuillandre, J. C.; Vollmer, B.; Boissier, S.; Consolandi, G.; Ferrarese, L.; Gwyn, S.; Amram, P.; Boquien, M.; Buat, V.; Burgarella, D.; Cortese, L.; Côté, P.; Côté, S.; Durrell, P.; Fumagalli, M.; Gavazzi, G.; Gomez-Lopez, J.; Hensler, G.; Koribalski, B.; Longobardi, A.; Peng, E. W.; Roediger, J.; Sun, M.; Toloba, E.",Astronomy &amp; Astrophysics,614,,A57,10.1051/0004-6361/201732373,https://doi.org/10.1051/0004-6361/201732373,journal-article,EDP Sciences,resolved quenching chronology for NGC 4330,resolved,
broderick_etal_2025,quenching_clock,2025,Truncated Star Formation and Ram Pressure Stripping in the Coma Cluster,"Broderick, Ariel O.; Roberts, Ian D.; Hudson, Michael J.",The Astrophysical Journal,986,2,132,10.3847/1538-4357/add739,https://doi.org/10.3847/1538-4357/add739,journal-article,American Astronomical Society,toy outside-in slow-then-rapid Coma model,resolved,
vollmer_etal_2008,individual_inversion,2008,Pre-peak ram pressure stripping in the Virgo cluster spiral galaxy NGC 4501,"Vollmer, B.; Soida, M.; Chung, A.; van Gorkom, J. H.; Otmianowska-Mazur, K.; Beck, R.; Urbanik, M.; Kenney, J. D. P.",Astronomy &amp; Astrophysics,483,1,89-106,10.1051/0004-6361:20078139,https://doi.org/10.1051/0004-6361:20078139,journal-article,EDP Sciences,pre-peak NGC 4501 dynamical model,resolved,
vollmer_etal_2018,individual_inversion,2018,Two uneven sisters,"Vollmer, B.; Pappalardo, C.; Soida, M.; Lançon, A.",Astronomy &amp; Astrophysics,620,,A108,10.1051/0004-6361/201731910,https://doi.org/10.1051/0004-6361/201731910,journal-article,EDP Sciences,post-peak NGC 4388 dynamical model,resolved,
vollmer_etal_2006,individual_inversion,2006,A dynamical model for the heavily ram pressure stripped Virgo spiral galaxy NGC 4522,"Vollmer, B.; Soida, M.; Otmianowska-Mazur, K.; Kenney, J. D. P.; van Gorkom, J. H.; Beck, R.",Astronomy &amp; Astrophysics,453,3,883-893,10.1051/0004-6361:20064954,https://doi.org/10.1051/0004-6361:20064954,journal-article,EDP Sciences,NGC 4522 dynamical RPS model,resolved,
vollmer_etal_2004,individual_inversion,2004,NGC 4569: Recent evidence for a past ram pressure stripping event,"Vollmer, B.; Balkowski, C.; Cayatte, V.; van Driel, W.; Huchtmeier, W.",Astronomy &amp; Astrophysics,419,1,35-46,10.1051/0004-6361:20034552,https://doi.org/10.1051/0004-6361:20034552,journal-article,EDP Sciences,NGC 4569 dynamical RPS model,resolved,
vollmer_etal_2012,individual_inversion,2012,Ram pressure stripping of the multiphase ISM and star formation in the Virgo spiral galaxy NGC 4330,"Vollmer, B.; Soida, M.; Braine, J.; Abramson, A.; Beck, R.; Chung, A.; Crowl, H. H.; Kenney, J. D. P.; van Gorkom, J. H.",Astronomy &amp; Astrophysics,537,,A143,10.1051/0004-6361/201117680,https://doi.org/10.1051/0004-6361/201117680,journal-article,EDP Sciences,NGC 4330 multiwavelength RPS model,resolved,
vollmer_etal_2021,individual_inversion,2021,A Virgo Environmental Survey Tracing Ionised Gas Emission (VESTIGE),"Vollmer, B.; Fossati, M.; Boselli, A.; Soida, M.; Gwyn, S.; Cuillandre, J. C.; Amram, Ph.; Boissier, S.; Boquien, M.; Hensler, G.",Astronomy &amp; Astrophysics,645,,A121,10.1051/0004-6361/202038507,https://doi.org/10.1051/0004-6361/202038507,journal-article,EDP Sciences,NGC 4330 spectro-dynamical RPS model,resolved,
consolandi_etal_2024,candidate_diagnostic,2024,Diagnostic diagrams for ram pressure stripped candidates,"Krabbe, A C; Hernandez-Jimenez, J A; Mendes de Oliveira, C; Jaffe, Y L; Oliveira, C B; Cardoso, N M; Smith Castelli, A V; Dors, O L; Cortesi, A; Crossett, J P",Monthly Notices of the Royal Astronomical Society,528,2,1125-1141,10.1093/mnras/stad3881,https://doi.org/10.1093/mnras/stad3881,journal-article,Oxford University Press (OUP),morphological diagnostic diagrams for RPS candidates,resolved,
